1	3757	3758	0	3.52761196560963	INFORMATION RETRIEVAL 
1	5122	5123	1	3.492140340143078	INFORMATION RETRIEVAL 
1	1877	1878	2	3.486579421421935	INFORMATION RETRIEVAL 
1	4582	4583	3	3.4855802199136363	INFORMATION RETRIEVAL 
1	4774	4775	4	3.4768033658457957	INFORMATION RETRIEVAL 
1	1082	1083	5	3.466886531896786	INFORMATION RETRIEVAL 
1	5540	5541	6	3.457099130602126	INFORMATION RETRIEVAL 
1	2631	2632	7	3.4543526193807237	INFORMATION RETRIEVAL 
1	1447	1448	8	3.441915375425668	INFORMATION RETRIEVAL 
1	3622	3623	9	3.437302978182102	INFORMATION RETRIEVAL 
1	3908	3909	10	3.436930075048558	INFORMATION RETRIEVAL 
1	3150	3151	11	3.4316876481176704	INFORMATION RETRIEVAL 
1	1605	1606	12	3.37845239963241	INFORMATION RETRIEVAL 
1	233	234	13	3.37817454802507	INFORMATION RETRIEVAL 
1	852	853	14	3.3652484141640353	INFORMATION RETRIEVAL 
1	407	408	15	3.364218371075291	INFORMATION RETRIEVAL 
1	5767	5768	16	3.363196113700296	INFORMATION RETRIEVAL 
1	1116	1117	17	3.3484500429344446	INFORMATION RETRIEVAL 
1	3238	3239	18	3.34008740377626	INFORMATION RETRIEVAL 
1	2670	2671	19	3.3397100329579943	INFORMATION RETRIEVAL 
1	769	770	20	3.3357511924705876	INFORMATION RETRIEVAL 
1	5132	5133	21	3.3351185534904952	INFORMATION RETRIEVAL 
1	92	93	22	3.3220449275653596	INFORMATION RETRIEVAL 
1	1375	1376	23	3.319984017909254	INFORMATION RETRIEVAL 
1	5226	5227	24	3.3087626925033837	INFORMATION RETRIEVAL 
1	703	704	25	3.3077516777833846	INFORMATION RETRIEVAL 
1	1672	1673	26	3.3032781468131933	INFORMATION RETRIEVAL 
1	2106	2107	27	3.300249816818349	INFORMATION RETRIEVAL 
1	1363	1364	28	3.291019163320379	INFORMATION RETRIEVAL 
1	2003	2004	29	3.2902336666664804	INFORMATION RETRIEVAL 
1	3967	3968	30	3.2898519904242733	INFORMATION RETRIEVAL 
1	5928	5929	31	3.2725867984682293	INFORMATION RETRIEVAL 
1	3300	3301	32	3.2683563621670153	INFORMATION RETRIEVAL 
1	5035	5036	33	3.2527884054110894	INFORMATION RETRIEVAL 
1	4794	4795	34	3.2500072789190106	INFORMATION RETRIEVAL 
1	3349	3350	35	3.2431572043002923	INFORMATION RETRIEVAL 
1	1753	1754	36	3.242981069312516	INFORMATION RETRIEVAL 
1	2888	2889	37	3.2395063210541726	INFORMATION RETRIEVAL 
1	4224	4225	38	3.2387676620491566	INFORMATION RETRIEVAL 
1	2943	2944	39	3.226749299702205	INFORMATION RETRIEVAL 
1	1269	1270	40	3.2175993208763343	INFORMATION RETRIEVAL 
1	3599	3600	41	3.215588043081273	INFORMATION RETRIEVAL 
1	1376	1377	42	3.2092927245791825	INFORMATION RETRIEVAL 
1	940	941	43	3.2000338896869405	INFORMATION RETRIEVAL 
